sec of day,sec,lon,lat,speed[km/h],alt[m],true_north[D],pad_pressure,d_gap[m],t_gap[s],grade[D],acc[m/s2],VSP[kW/t],temp[C],humd,pressure[hPa],v_wind[km/h],d_wind[D],trac_power[kW]
38535.0,0,118.8191655,31.89601467,0.0,8.1,0.0,35,0.024824888,1.0,0.0,0.0,0.0,7,0.56,1027,5,236,0.0
38536.0,1,118.81916532999999,31.8960145,0.0,8.1,0.0,11,0.031188691,1.0,0.5947,0.0,0.0,7,0.56,1027,5,236,0.0
38537.0,2,118.819165,31.8960145,0.0,8.03,0.0,0,0.035435867,1.0,0.5513,0.0,0.0,7,0.56,1027,5,236,0.0
38538.0,3,118.81916467000002,31.89601434888898,0.0,8.01,0.0,0,0.036898725,1.0,0.445,0.0,0.0,7,0.56,1027,5,236,0.0
38539.0,4,118.81916433160715,31.896014183571335,0.0,8.0,0.0,0,0.036916744,1.0,0.322,0.0,0.0,7,0.56,1027,5,236,0.0
38540.0,5,118.81916399949999,31.896014008999913,0.0,8.0,0.0,0,0.027017215,1.0,0.833,0.0,0.0,7,0.56,1027,5,236,0.0
38541.0,6,118.81916380088887,31.896013834444396,0.0,7.93,0.0,0,0.023425069,1.0,0.85,0.0,0.0,7,0.56,1027,5,236,0.0
38542.0,7,118.81916364626916,31.89601366998018,0.0,7.91,0.0,0,0.023975298,1.0,0.7197,0.0,0.0,7,0.56,1027,5,236,0.0
38543.0,8,118.81916348902347,31.896013500974764,0.0,7.902,0.0,0,0.0040528923,1.0,1.302,0.0,0.0,7,0.56,1027,5,236,0.0
38544.0,9,118.81916346564272,31.896013470454545,0.0,7.902,0.0,0,0.014802206,1.0,0.659,0.0,0.0,7,0.56,1027,5,236,0.0
38545.0,10,118.81916347597902,31.89601333777396,0.0,7.9,0.0,0,0.017670901,1.0,0.4263,0.0,0.0,7,0.56,1027,5,236,0.0
38546.0,11,118.81916348795932,31.896013179359763,0.0,7.9,0.0,0,0.02286777,1.0,0.241,0.0,0.0,7,0.56,1027,5,236,0.0
38547.0,12,118.81916335546191,31.896013007473222,0.0,7.9,0.0,0,0.019583855,1.0,0.1981,0.0,0.0,7,0.56,1027,5,236,0.0
