sec of day,lon,lat,speed[km/h],acc[m/s2],VSP[kW/t],trac_power[kW],pad_pressure,true_north[D],grade[D],braking,reg_braking,model,driver,brand
52857.0,118.81935867,31.8959895,0.0,0.0,0.0,0.0,4,0.0,0.0,0,0,Ei5,DRIVER1,Roewe
52858.0,118.81935867,31.89598933,0.0,0.0,0.0,0.0,3,0.0,0.0,0,0,Ei5,DRIVER1,Roewe
52859.0,118.81935867,31.895989329999995,0.0,0.0,0.0,0.0,2,0.0,0.0,0,0,Ei5,DRIVER1,Roewe
52860.0,118.81935881222216,31.895989187777868,0.0,0.0,0.0,0.0,1,0.0,0.0,0,0,Ei5,DRIVER1,Roewe
52861.0,118.81935884142858,31.8959891585714,0.0,0.0,0.0,0.0,1,0.0,0.8745,0,0,Ei5,DRIVER1,Roewe
52862.0,118.819358842,31.89598901774994,0.0,0.0,0.0,0.0,1,0.0,1.039,0,0,Ei5,DRIVER1,Roewe
52863.0,118.81935897688888,31.8959889853333,0.0,0.0,0.0,0.0,1,0.0,0.4485,0,0,Ei5,DRIVER1,Roewe
52864.0,118.8193592818654,31.89598884601681,0.0,0.0,0.0,0.0,1,0.0,0.385,0,0,Ei5,DRIVER1,Roewe
52865.0,118.81935949622434,31.895988682942647,0.0,0.0,0.0,0.0,1,0.0,0.725,0,0,Ei5,DRIVER1,Roewe
52866.0,118.81935953600664,31.895988368999607,0.0,0.0,0.0,0.0,1,0.0,0.7974,0,0,Ei5,DRIVER1,Roewe
52867.0,118.81935966761012,31.89598816511308,0.0,0.0,0.0,0.0,1,0.0,0.5996,0,0,Ei5,DRIVER1,Roewe
52868.0,118.81935996327384,31.89598799113876,0.0,0.0,0.0,0.0,1,0.0,0.5415,0,0,Ei5,DRIVER1,Roewe
52869.0,118.81936017116271,31.89598782417089,0.0,0.0,0.0,0.0,1,0.0,0.6133,0,0,Ei5,DRIVER1,Roewe
52870.0,118.81936033920354,31.895987796885333,0.0,0.0,0.0,0.0,1,0.0,0.91,0,0,Ei5,DRIVER1,Roewe
52871.0,118.81936050496986,31.89598767450601,0.0,0.0,0.0,0.0,1,0.0,1.439,0,0,Ei5,DRIVER1,Roewe
52872.0,118.81936053240403,31.895987650801786,0.0,0.0,0.0,0.0,1,0.0,0.5947,0,0,Ei5,DRIVER1,Roewe
52873.0,118.81936079482368,31.89598751496813,0.0,0.0,0.0,0.0,2,0.0,0.3525,0,0,Ei5,DRIVER1,Roewe
52874.0,118.81936113584976,31.8959873447372,0.0,0.0,0.0,0.0,2,0.0,0.342,0,0,Ei5,DRIVER1,Roewe
52875.0,118.81936134251444,31.895987176694216,0.0,0.0,0.0,0.0,1,0.0,0.2239,0,0,Ei5,DRIVER1,Roewe
52876.0,118.81936165347814,31.89598714393124,0.0,0.0,0.0,0.0,2,0.0,0.09973,0,0,Ei5,DRIVER1,Roewe
